epoch,lr,loss,iou,dice,recall,val_loss,val_iou,val_dice,val_recall
0,0.0001,1.1150935781002045,0.24659365669375166,0.06522301859674914,0.7873810578153005,1.0780402526855468,0.25619207824475954,0.05861315163257413,0.34263932905856076
1,0.0001,1.0431876745223998,0.29677042702804735,0.08645642291713757,0.8030925325208516,1.0121431941986083,0.278506993067656,0.0909864666159198,0.4210107031549469
2,0.0001,0.9870870406627655,0.3317902722534235,0.11420752612890278,0.8426669065448594,0.9917257013320923,0.2749094595049494,0.1015448062230261,0.3955644288885317
3,0.0001,0.9336962640285492,0.34606480917771887,0.14871272753039927,0.8521012740064243,0.9103597187995911,0.30194625785595436,0.1531817599133146,0.3993241337230021
4,0.0001,0.8770901811122894,0.3780988612693742,0.1906872037533974,0.8338982830646797,0.8430475387573242,0.2838182283148165,0.21154349048100918,0.3639688949091564
5,0.0001,0.8335461201667785,0.3643558041089516,0.23646920544282157,0.8284919380626833,0.8280349454879761,0.3228910149069587,0.21678403472332722,0.43575627116174664
6,0.0001,0.7799323021173478,0.4041470172164484,0.29102815929526754,0.8444579452317534,0.7671174015998841,0.3336984106893145,0.2674965123279057,0.4255245195302046
7,0.0001,0.7354377417564392,0.4509652936680566,0.3461381039425526,0.8150827051178829,0.7463257932662963,0.32431921769500227,0.28981400635706517,0.4327957479813585
8,0.0001,0.7355450081825257,0.35519886455682753,0.36073902934827445,0.8088797155120157,0.7152028150558472,0.3261079574552447,0.3176308895693332,0.42968804896160734
9,0.0001,0.6977649717330933,0.39640087932445894,0.41596356960641123,0.8194290318121011,0.7022708678245544,0.3293224640933085,0.3318202589716198,0.43391764057999377
10,0.0001,0.6764429841041565,0.4145575612768829,0.4514501869701982,0.8280050259754886,0.6754712228775024,0.33927039857023855,0.34962354335899704,0.42106562513701773
11,0.0001,0.6583142030835152,0.43980757529714537,0.49429450279167586,0.8256635886884575,0.6624960091114044,0.33552993035382894,0.36323971712140357,0.4298808437581259
12,0.0001,0.6462139729261398,0.4703964559694858,0.5246092954436667,0.8086774379493195,0.6456610724925995,0.34818874195953364,0.37972638746989434,0.4263757538372877
13,0.0001,0.6391543426513672,0.475086467862411,0.5450224623503601,0.82149653965602,0.6561810312271118,0.3383201031535659,0.37708826036236437,0.42971573471254243
14,0.0001,0.6331860672235489,0.49566685014022305,0.5725677905272069,0.8311355600407285,0.6492477059364319,0.33711894924113583,0.3728124701556454,0.39753975754984877
15,0.0001,0.625700940668583,0.4992758902731417,0.5792664742068506,0.8077278225493905,0.6372836031913758,0.34744466773079596,0.38442464367803536,0.4183737891489768
16,0.0001,0.6174878938794136,0.5281876902778639,0.6075227734351215,0.8234076833157374,0.6368516409397125,0.3445709332517843,0.38751997129713345,0.4238892061488301
17,0.0001,0.6139723473787307,0.5215999364309448,0.6066703383466969,0.8069111099560633,0.6310118944644928,0.34925822510879734,0.38951079990331455,0.41039143589607074
18,0.0001,0.6149335551857948,0.5219529884883767,0.6145378432346176,0.813384730254949,0.637377897977829,0.3451816328359553,0.3901633439444286,0.43570029253984593
19,0.0001,0.609875656336546,0.5322642205249372,0.6249574379603485,0.8181107366002865,0.6306587455272674,0.3499286724702668,0.3969119013709816,0.41685760137046834
20,0.0001,0.6113344778418541,0.5322470460313038,0.626905597768049,0.7995021364237662,0.6562512791156769,0.31849313557795916,0.3655832486388633,0.35847084850751454
21,0.0001,0.6074146384000778,0.5196221767423572,0.6219527497510834,0.8083571805248864,0.6267127702236176,0.3463808930045397,0.3938306156051215,0.4100303237956048
22,0.0001,0.6055632850825786,0.5422818556521787,0.6471128085095593,0.8265608515991236,0.6194410512447357,0.3570374682415801,0.4029493349288536,0.43060395924590766
23,0.0001,0.6014278891980648,0.5571496993957775,0.6592999910864036,0.8376789390748953,0.6266331779956817,0.3497686795749489,0.39876009419940894,0.419986875453397
24,0.0001,0.600738103568554,0.5397056137805766,0.6412214525711897,0.7982962732196792,0.6179266746044159,0.35584547656248333,0.4032003146165233,0.41186239522663254
25,0.0001,0.6002283208370208,0.5506968862253501,0.6487976059136601,0.8104392360928616,0.6177682092189789,0.3595348527062811,0.40097252644233855,0.41819310760114475
26,0.0001,0.5956507294476032,0.5749844657020641,0.6774498675909609,0.8264261040139332,0.6199447121620179,0.35550557292876317,0.4042465644362332,0.4212546876480578
27,0.0001,0.5955456345379353,0.5771281428268227,0.6876203325746407,0.8468851543947984,0.6166608004570008,0.3604553443852375,0.4078184825702855,0.4414407982125285
28,0.0001,0.5958801525235176,0.5652578559099194,0.6685682948775294,0.8265474261896261,0.6180592510700226,0.35466037990753346,0.4017747703482173,0.4146924997208936
29,0.0001,0.5942530556321144,0.5790450200050019,0.6805104100849575,0.8216825825293514,0.6120206186771393,0.36088234758783133,0.4065681630072809,0.4267580216177589
30,0.0001,0.5910503934025765,0.5816804667724427,0.6776119109992242,0.7976423878047757,0.61169899559021,0.36326106791731416,0.4090509741682609,0.4284906815387881
31,0.0001,0.5895958517789841,0.5877068392901201,0.688455603195963,0.8202787186596663,0.6388789405822753,0.3341826353987046,0.3879604881213853,0.3803518843718063
32,0.0001,0.5905807699561119,0.5882929838634385,0.6940492258329922,0.8305387788412241,0.6235695445537567,0.34885838754227544,0.399384161160537,0.3869536261988361
33,0.0001,0.58860362342,0.5950821116925985,0.6931118475032247,0.8118532961927089,0.6172608270645141,0.3524659741513296,0.40240309964602416,0.39782386947484377
34,0.0001,0.5901978794634343,0.5827138985115636,0.6809148371929739,0.8048371575413824,0.6221122655868531,0.35189206732233874,0.3970493012799918,0.41225171312323244
35,0.0001,0.5903697078824043,0.5902826327716686,0.695616281941126,0.8313589354281805,0.6089292845726013,0.36537259482218026,0.41128199090121803,0.4125133198395158
36,0.0001,0.585494099766016,0.6128958803436318,0.7107048838695035,0.8211111242698004,0.6087845232486725,0.3661511309269924,0.41391433034909025,0.4250785519648231
37,0.0001,0.5848613006174564,0.6090616592819114,0.7079737131800818,0.8221155873574534,0.6085333235263825,0.3642171985779072,0.4099296164070875,0.43317637484397886
